date,open,low,high,close,volume
2015-02-26,"3,604","3,545","3,780","3,722",20.11094289
2015-02-27,"3,722","3,645","3,850","3,799",29.81031297
2015-02-28,"3,799","3,760","3,835","3,829",2.10577901
2015-03-01,"3,813","3,618","3,918","3,905",6.68567401
2015-03-02,"3,917","3,830","4,140","4,035",34.01790767
2015-03-03,"4,035","3,957","4,315","4,244",66.05973707
2015-03-04,"4,253","4,085.5","4,290","4,100",23.69485127
2015-03-05,"4,100","3,970","4,125","4,120",31.63454168
2015-03-06,"4,120","3,980","4,287","4,257",33.65651598
2015-03-07,"4,249.25","4,238","4,299.99","4,299.99",9.03709041
2015-03-08,"4,260","4,200","4,299.99","4,267",9.29615598
2015-03-09,"4,299.99","4,277","4,750","4,708",68.81502067
2015-03-10,"4,686.5","4,530.01","4,753","4,684",22.65607555
2015-03-11,"4,684","4,535","4,721","4,675",12.08842257
2015-03-12,"4,550.25","4,510","4,680","4,510",25.80416819
2015-03-13,"4,510","4,460","4,645","4,590",21.93475038
2015-03-14,"4,579.13","4,416","4,580","4,450",9.35923132
2015-03-15,"4,525","4,208","4,595","4,584",22.47605503
2015-03-16,"4,444","4,444","4,620","4,510",10.89309137
2015-03-17,"4,510","4,420","4,605","4,520.25",23.9957891
2015-03-18,"4,420","3,970","4,520.25","3,988",59.01335903
2015-03-19,"3,988","3,970","4,253","4,173",23.28455347
2015-03-20,"4,173","4,116.75","4,205","4,177.19",24.69899491
2015-03-21,"4,177.19","4,173.75","4,191","4,179",16.41845228
2015-03-22,"4,181","4,169","4,230","4,189",17.95044116
2015-03-23,"4,189","3,893","4,193","4,128",30.75667356
2015-03-24,"4,128","3,750","4,128","3,883",60.99950059
2015-03-25,"3,881","3,690","3,896","3,896",52.83663643
2015-03-26,"3,865.25","3,834.5","4,132","3,858",25.01730423
2015-03-27,"3,957.5","3,854","4,106","3,875",25.97243607
2015-03-28,"3,873","3,860","4,045","3,881",3.81058933
2015-03-29,"3,954","3,850","4,021","3,850",6.14053406
2015-03-30,"3,979","3,755","4,069","3,810",17.06846443
2015-03-31,"3,870","3,800","3,919","3,859.25",39.25566563
2015-04-01,"3,852.5","3,750","3,900","3,883",37.57778498
2015-04-02,"3,882.5","3,800","3,919","3,812.5",10.97089903
2015-04-03,"3,895","3,798","3,931","3,922",12.66522011
2015-04-04,"3,922","3,800","3,947","3,935.5",16.46676393
2015-04-05,"3,937","3,926.5","4,025","3,966.5",13.85909649
2015-04-06,"4,010","3,850","4,010","3,936",34.38536182
2015-04-07,"3,936","3,901","3,977","3,910",11.32727008
2015-04-08,"3,945","3,705","3,950","3,810",16.4320023
2015-04-09,"3,810","3,650","3,814","3,658.01",18.37383141
2015-04-10,"3,762.99","3,485","3,789","3,735",28.36279986
2015-04-11,"3,728","3,538","3,750","3,742",8.4864952
2015-04-12,"3,750","3,567","3,755","3,700",3.06318562
2015-04-13,"3,700","3,376","3,700","3,490",24.72348543
2015-04-14,"3,376","3,250","3,499.99","3,420",43.09202542
2015-04-15,"3,475","3,322","3,499.99","3,405",15.58802032
2015-04-16,"3,405","3,405","3,580","3,482",16.29952145
2015-04-17,"3,468","3,445","3,553","3,490",13.9452358
